 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"150040 Alenquer";7;11;7;10;8;12;10;1;4;1;71
"150050 Almeirim";4;3;6;15;3;5;4;4;3;1;48
"150060 Altamira";45;49;72;84;86;78;75;67;50;49;655
"150070 Anajás";-;1;1;1;1;-;-;-;-;1;5
"150080 Ananindeua";237;254;308;292;277;313;258;195;207;211;2552
"150085 Anapu";10;4;8;12;15;5;9;7;16;11;97
"150090 Augusto Corrêa";-;1;-;3;1;3;3;2;3;-;16
"150095 Aurora do Pará";3;3;-;4;8;5;3;4;7;4;41
"150100 Aveiro";-;-;-;-;1;1;-;2;-;-;4
"150110 Bagre";-;1;-;-;-;-;-;-;-;1;2
"150120 Baião";-;4;3;7;3;15;5;1;3;1;42
"150125 Bannach";1;1;-;1;-;-;-;-;-;-;3
"150130 Barcarena";6;6;13;15;8;9;17;19;21;19;133
"150140 Belém";151;153;134;113;106;79;97;114;95;102;1144
"150145 Belterra";4;4;3;1;11;8;1;4;4;3;43
"150150 Benevides";14;8;6;3;10;7;11;13;4;6;82
"150157 Bom Jesus do Tocantins";5;5;10;6;-;5;2;3;3;2;41
"150160 Bonito";-;1;4;3;6;2;5;1;4;1;27
"150170 Bragança";8;5;15;7;14;11;6;10;15;8;99
"150172 Brasil Novo";4;4;5;5;8;8;8;5;2;6;55
"150175 Brejo Grande do Araguaia";2;2;5;1;-;4;2;-;1;2;19
